Qual é o nome do projeto e aplicativo desenvolvido para criar uma rede de apoio para mães de crianças com Transtorno do Espectro Autista (TEA)?,AUTistima.
Quem é a idealizadora do projeto AUTistima?,"Lorena Martins, professora e pesquisadora."
"Qual é o principal objetivo do aplicativo AUTistima, conforme descrito no objetivo geral do projeto de pesquisa?",Desenvolver um aplicativo colaborativo que reúna estratégias e manejos maternos no gerenciamento de crises de sujeitos com TEA.
"No contexto do AUTistima, o que são os ""Manejos de A a Z""?","Uma seção que reúne estratégias emocionais e práticas, elaboradas por mães e especialistas, para lidar com desafios cotidianos como ansiedade, banho e comunicação."
"Qual a função do ""Mini dicionário"" no aplicativo AUTistima?","Explicar termos técnicos das áreas da saúde e educação de forma acessível, combatendo a desinformação."
"No mini dicionário do AUTistima, como uma crise de uma criança com TEA é diferenciada de uma birra?","A crise é definida como uma sobrecarga sensorial ou emocional que a criança não consegue controlar, enquanto a birra não é mencionada como equivalente."
"O que são estereotipias, segundo a definição do mini dicionário do AUTistima?","Movimentos repetitivos usados como forma de autorregulação ou expressão, e não como uma mania."
"Qual é o propósito da ""Central de acolhimento"" no AUTistima?","Ser um espaço onde as mães trocam mensagens, se acolhem e se escutam, funcionando como um refúgio digital de apoio emocional."
"No AUTistima, qual palavra substitui o botão ""curtir"" na Central de Acolhimento para reforçar a empatia?",Acolher.
Que tipos de perfis de usuários podem se cadastrar no aplicativo AUTistima?,"Mãe, Empresa Acolhedora, Profissionais da Saúde ou Apoio, Serviço Público ou gratuito, e Profissional da Educação."
Como o AUTistima pretende auxiliar no diagnóstico precoce do autismo?,"Por meio dos cadastros e interações das usuárias e docentes, o aplicativo permite sinalizar precocemente sinais de autismo e encaminhar crianças aos serviços adequados."
De que forma o AUTistima pode gerar uma base de dados para políticas públicas em Maceió?,"Gerando relatórios geográficos e estatísticos sobre mães cadastradas por bairro, níveis de suporte das crianças e demandas de saúde e educação."
O AUTistima visa criar uma rede intersetorial entre quais três áreas?,"Saúde, Educação e Assistência."
"O que é o selo ""Empresa Amiga da Mãe Atípica""?","Um reconhecimento municipal para empresas que apoiam mães atípicas, seja empregando-as, oferecendo capacitação, custeando terapias ou promovendo qualificação."
"Quais são as quatro categorias de adesão ao selo ""Empresa da Mãe Atípica""?","Empresa Acolhedora, Empresa Parceira, Clínica Amiga e Empresa Formadora."
"Qual é a contribuição de uma ""Empresa Acolhedora"" segundo os critérios do selo AUTistima?","Emprega mães atípicas, oferecendo condições adaptadas de trabalho, como flexibilidade de horários."
"O que caracteriza uma ""Clínica Amiga"" no projeto AUTistima?","Realiza atendimentos gratuitos ou sociais em áreas como psicoterapia, fonoaudiologia e terapia ocupacional."
Como o AUTistima propõe desafogar os serviços públicos?,Através do cadastro de profissionais voluntários e clínicas parceiras que ampliam a rede de apoio com atendimentos gratuitos ou a valor social.
Qual a proposta do AUTistima em relação a convênios com universidades?,Facilitar parcerias para que estudantes de áreas como Psicologia e Fonoaudiologia realizem estágios e atendimentos clínicos para mães atípicas e seus filhos.
"O que é o conceito de ""atendimento integrado"" proposto pelo AUTistima?","A mãe e a criança são atendidas no mesmo horário e local, otimizando a logística e fortalecendo a saúde emocional materna."
"No AUTistima, a seção _____ permite que mães cadastrem seus currículos e divulguem suas habilidades para promover autonomia financeira.",Rede de Oportunidades.
Qual funcionalidade do AUTistima permite que equipes pedagógicas da Educação Infantil solicitem avaliação para estudantes com suspeita de TEA?,"A aba ""Profissionais da Educação""."
A pesquisa que fundamenta o AUTistima enfoca as vivências de qual grupo específico?,Mães de pessoas diagnosticadas com Transtorno do Espectro Autista (TEA).
"Segundo a justificativa do projeto de pesquisa, muitas mães atípicas encontram apoio emocional principalmente em _____.",comunidades virtuais formadas por outras mães na mesma condição.
"A pesquisa do AUTistima visa reconhecer e sistematizar saberes não ""cientificizados"", mas _____ eficazes.",maternalmente.
O que a fundamentação teórica do projeto aponta sobre a figura materna no cuidado com crianças com TEA?,"São geralmente as mães que identificam os primeiros sinais, buscam atendimento e lidam com os desafios diários."
"De acordo com a pesquisa psicanalítica para o AUTistima, o que o nascimento de um filho atípico convoca na mãe?","Um processo de luto do ideal materno, elaborando a perda da criança imaginária."
A pesquisa com 20 mães maceioenses revelou que qual porcentagem delas não participa de nenhuma rede de apoio?,80%.
"Conforme a pesquisa para o AUTistima, 95% das mães maceioenses sentem falta de um _____ para desabafar e receber orientação.",espaço digital.
"Qual é a interpretação psicanalítica para o ""luto do ideal materno"" discutido no projeto?","É a perda não do filho real, mas do filho imaginário que existia no desejo materno antes do diagnóstico."
"Em 85% das falas das mães pesquisadas, apareceram elementos claros de luto. Cite dois exemplos desses elementos.",Perda da maternidade imaginada e abandono dos próprios projetos.
A solidão materna descrita na pesquisa é apenas prática (falta de ajuda) ou também subjetiva?,"É também subjetiva, descrita como a solidão da experiência que ""ninguém entende""."
"Como o ideal da ""mãe guerreira"" ou ""mãe forte"" funciona como um instrumento de sofrimento, segundo a análise psicanalítica?","Funciona como um agente de rigidez superegóica, gerando culpa crônica, autoacusação e sensação de fracasso quando o ideal não é atingido."
"Segundo a pesquisa, o AUTistima pode funcionar como um ambiente sustentador, que em psicanálise winnicottiana é chamado de ____.",holding.
